query,level,ground_truth,predicted,correct,model_used,score,input_tokens,output_tokens,total_tokens,cost_usd,latency_sec
"A paper about AI regulation that was originally submitted to arXiv.org in June 2022 shows a figure with three axes, where each axis has a label word at both ends. Which of these words is used to describe a type of society in a Physics and Society article submitted to arXiv.org on August 11, 2016?",2,egalitarian,egalitarian,True,gpt-4o-mini-2024-07-18,0.1305992752313614,206,2,208,3.2e-05,0.769
"I’m researching species that became invasive after people who kept them as pets released them. There’s a certain species of fish that was popularized as a pet by being the main character of the movie Finding Nemo. According to the USGS, where was this fish found as a nonnative species, before the year 2020? I need the answer formatted as the five-digit zip codes of the places the species was found, separated by commas if there is more than one place.",2,34689,"33154, 33160, 33162, 32118, 92629",False,gpt-4o-mini-2024-07-18,0.11431864649057388,232,18,250,4.6e-05,1.087
"If we assume all articles published by Nature in 2020 (articles, only, not book reviews/columns, etc) relied on statistical significance to justify their findings and they on average came to a p-value of 0.04, how many papers would be incorrect as to their claims of statistical significance? Round the value up to the next integer.",2,41,4,False,gpt-4o-mini-2024-07-18,0.17833730578422546,207,1,208,3.2e-05,1.316
"In Unlambda, what exact charcter or text needs to be added to correct the following code to output ""For penguins""? If what is needed is a character, answer with the name of the character. If there are different names for the character, use the shortest. The text location is not needed. Code:

`r```````````.F.o.r. .p.e.n.g.u.i.n.si",2,backtick,g,False,gpt-4o-mini-2024-07-18,0.16080889105796814,221,1,222,3.4e-05,0.717
"If Eliud Kipchoge could maintain his record-making marathon pace indefinitely, how many thousand hours would it take him to run the distance between the Earth and the Moon its closest approach? Please use the minimum perigee value on the Wikipedia page for the Moon when carrying out your calculation. Round your result to the nearest 1000 hours and do not use any comma separators if necessary.",1,17,11000,False,gpt-4o-2024-08-06,0.3464250862598419,214,2,216,0.0011,0.919
"The attached spreadsheet shows the inventory for a movie and video game rental store in Seattle, Washington. What is the title of the oldest Blu-Ray recorded in this spreadsheet? Return it as appearing in the spreadsheet.",2,Time-Parking 2: Parallel Universe,Ocean's 11,False,gpt-4o-mini-2024-07-18,0.2297670692205429,177,4,181,2.9e-05,2.313
How many studio albums were published by Mercedes Sosa between 2000 and 2009 (included)? You can use the latest 2022 version of english wikipedia.,1,3,7,False,gpt-4o-2024-08-06,0.340299516916275,170,1,171,0.000865,0.864
"The object in the British Museum's collection with a museum number of 2012,5015.17 is the shell of a particular mollusk species. According to the abstract of a research article published in Science Advances in 2021, beads made from the shells of this species were found that are at least how many thousands of years old?",2,142,"140,000",False,gpt-4o-mini-2024-07-18,0.27520596981048584,205,3,208,3.3e-05,1.092
"According to github, when was Regression added to the oldest closed numpy.polynomial issue that has the Regression label in MM/DD/YY?",2,04/15/18,01/26/15,False,gpt-4o-mini-2024-07-18,0.23130762577056885,163,5,168,2.7e-05,0.951
"Here's a fun riddle that I think you'll enjoy.

You have been selected to play the final round of the hit new game show ""Pick That Ping-Pong"". In this round, you will be competing for a large cash prize. Your job will be to pick one of several different numbered ping-pong balls, and then the game will commence. The host describes how the game works.

A device consisting of a winding clear ramp and a series of pistons controls the outcome of the game. The ramp feeds balls onto a platform. The platform has room for three ping-pong balls at a time. The three balls on the platform are each aligned with one of three pistons. At each stage of the game, one of the three pistons will randomly fire, ejecting the ball it strikes. If the piston ejects the ball in the first position on the platform the balls in the second and third position on the platform each advance one space, and the next ball on the ramp advances to the third position. If the piston ejects the ball in the second position, the ball in the first position is released and rolls away, the ball in the third position advances two spaces to occupy the first position, and the next two balls on the ramp advance to occupy the second and third positions on the platform. If the piston ejects the ball in the third position, the ball in the first position is released and rolls away, the ball in the second position advances one space to occupy the first position, and the next two balls on the ramp advance to occupy the second and third positions on the platform.

The ramp begins with 100 numbered ping-pong balls, arranged in ascending order from 1 to 100. The host activates the machine and the first three balls, numbered 1, 2, and 3, advance to the platform. Before the random firing of the pistons begins, you are asked which of the 100 balls you would like to pick. If your pick is ejected by one of the pistons, you win the grand prize, $10,000.

Which ball should you choose to maximize your odds of winning the big prize? Please provide your answer as the number of the ball selected.",1,3,2,False,gpt-4o-mini-2024-07-18,0.22525851428508759,584,1,585,8.8e-05,0.832
"In July 2, 1959 United States standards for grades of processed fruits, vegetables, and certain other products listed as dehydrated, consider the items in the ""dried and dehydrated section"" specifically marked as dehydrated along with any items in the Frozen/Chilled section that contain the whole name of the item, but not if they're marked Chilled. As of August 2023, what is the percentage (to the nearest percent) of those standards that have been superseded by a new version since the date given in the 1959 standards?",3,86,55%,False,gpt-4o-mini-2024-07-18,0.16718412935733795,250,2,252,3.9e-05,0.799
"Using the Biopython library in Python, parse the PDB file of the protein identified by the PDB ID 5wb7 from the RCSB Protein Data Bank. Calculate the distance between the first and second atoms as they are listed in the PDB file. Report the answer in Angstroms, rounded to the nearest picometer.",2,1.456,"This task requires executing Python code to calculate the distance between atoms, which I cannot perform. However, if you run the Python code using Biopython, you will obtain the distance in Angstroms. Please run the code in your environment to get the result.",False,gpt-4o-mini-2024-07-18,0.25521230697631836,206,53,259,6.3e-05,1.736
What are the EC numbers of the two most commonly used chemicals for the virus testing method in the paper about SPFMV and SPCSV in the Pearl Of Africa from 2016? Return the semicolon-separated numbers in the order of the alphabetized chemicals.,2,3.1.3.1; 1.11.1.7,200-399-0; 200-572-7,False,gpt-4o-mini-2024-07-18,0.2981489598751068,188,12,200,3.5e-05,0.982
"In April of 1977, who was the Prime Minister of the first place mentioned by name in the Book of Esther (in the New International Version)?",2,Morarji Desai,Mordecai,False,gpt-4o-mini-2024-07-18,0.2739243805408478,167,4,171,2.7e-05,0.75
What's the last line of the rhyme under the flavor name on the headstone visible in the background of the photo of the oldest flavor's headstone in the Ben & Jerry's online flavor graveyard as of the end of 2022?,2,So we had to let it die.,"""Goodbye, you old friend.""",False,gpt-4o-mini-2024-07-18,0.21773356199264526,184,8,192,3.2e-05,1.217
"Use density measures from the chemistry materials licensed by Marisa Alviar-Agnew & Henry Agnew under the CK-12 license in LibreText's Introductory Chemistry materials as compiled 08/21/2023.

I have a gallon of honey and a gallon of mayonnaise at 25C. I remove one cup of honey at a time from the gallon of honey. How many times will I need to remove a cup to have the honey weigh less than the mayonaise? Assume the containers themselves weigh the same.",2,6,6,True,gpt-4o-mini-2024-07-18,0.21901866793632507,241,1,242,3.7e-05,0.945
"What was the volume in m^3 of the fish bag that was calculated in the University of Leicester paper ""Can Hiccup Supply Enough Fish to Maintain a Dragon’s Diet?""",1,0.1777,0.291 m³,False,gpt-4o-mini-2024-07-18,0.2575855255126953,172,5,177,2.9e-05,1.024
What is the average number of pre-2020 works on the open researcher and contributor identification pages of the people whose identification is in this file?,3,26.4,12,False,gpt-4o-2024-08-06,0.33041518926620483,165,1,166,0.00084,0.921
"In the video https://www.youtube.com/watch?v=L1vXCYZAYYM, what is the highest number of bird species to be on camera simultaneously?",1,3,10,False,gpt-4o-mini-2024-07-18,0.29281991720199585,169,1,170,2.6e-05,1.136
"Of the authors (First M. Last) that worked on the paper ""Pie Menus or Linear Menus, Which Is Better?"" in 2015, what was the title of the first paper authored by the one that had authored prior papers?",1,Mapping Human Oriented Information to Software Agents for Online Systems Usage,"""Pie Menus or Linear Menus, Which Is Better?""",False,gpt-4o-mini-2024-07-18,0.1186651736497879,186,13,199,3.6e-05,1.526
"When you take the average of the standard population deviation of the red numbers and the standard sample deviation of the green numbers in this image using the statistics module in Python 3.11, what is the result rounded to the nearest three decimal points?",2,17.056,"I'm sorry, but I cannot view images. Please provide the red and green numbers for calculation.",False,gpt-4o-mini-2024-07-18,0.2815888822078705,185,19,204,3.9e-05,1.264
"Assuming scientists in the famous youtube video The Thinking Machine (Artificial Intelligence in the 1960s) were interviewed the same year, what is the name of the scientist predicting the sooner thinking machines or robots? Answer using the format First name Last name",3,Claude Shannon,Marvin Minsky,False,gpt-4o-mini-2024-07-18,0.2234639972448349,186,4,190,3e-05,1.004
"In Series 9, Episode 11 of Doctor Who, the Doctor is trapped inside an ever-shifting maze. What is this location called in the official script for the episode? Give the setting exactly as it appears in the first scene heading.",1,THE CASTLE,TIME LOCKED CHAMBER,False,gpt-4o-2024-08-06,0.40949153900146484,185,6,191,0.001015,0.965
"In terms of geographical distance between capital cities, which 2 countries are the furthest from each other within the ASEAN bloc according to wikipedia? Answer using a comma separated list, ordering the countries by alphabetical order.",2,"Indonesia, Myanmar","Brunei, Myanmar",False,gpt-4o-mini-2024-07-18,0.21548254787921906,178,4,182,2.9e-05,1.024
"In the NCATS PubChem compound database for Food Additive Status classification, find the compound that has a molecular weight of 100 g/mol or less, 6 heavy atoms, 1 or fewer hydrogen bond acceptors, and a complexity between 10 and 15. Of the shared gene-chemical co-occurrences between its two possible enzyme transformations, what is the PubChem CID of the heaviest by molecular weight?",3,4192,12694,False,gpt-4o-mini-2024-07-18,0.29016536474227905,221,2,223,3.4e-05,1.445
"I need to fact-check a citation. This is the citation from the bibliography:

Greetham, David. ""Uncoupled: OR, How I Lost My Author(s)."" Textual Cultures: Texts, Contexts, Interpretation, vol. 3 no. 1, 2008, p. 45-46. Project MUSE, doi:10.2979/tex.2008.3.1.44.

And this is the in-line citation:

Our relationship with the authors of the works we read can often be “obscured not by a ""cloak of print"" but by the veil of scribal confusion and mis-transmission” (Greetham 45-46).

Does the quoted text match what is actually in the article? If Yes, answer Yes, otherwise, give me the word in my citation that does not match with the correct one (without any article).",2,cloak,cloak,True,gpt-4o-mini-2024-07-18,0.19100245833396912,322,1,323,4.9e-05,2.014
Which contributor to the version of OpenCV where support was added for the Mask-RCNN model has the same name as a former Chinese head of government when the names are transliterated to the Latin alphabet?,2,Li Peng,Li Peng,True,gpt-4o-2024-08-06,0.32439422607421875,177,2,179,0.000915,1.068
What integer-rounded percentage of the total length of the harlequin shrimp recorded in Omar Valencfia-Mendez 2017 paper was the sea star fed to the same type of shrimp in G. Curt Fiedler's 2002 paper?,3,22,20,False,gpt-4o-2024-08-06,0.3085959553718567,185,1,186,0.00094,1.14
"An office held a Secret Santa gift exchange where each of its twelve employees was assigned one other employee in the group to present with a gift. Each employee filled out a profile including three likes or hobbies. On the day of the gift exchange, only eleven gifts were given, each one specific to one of the recipient's interests. Based on the information in the document, who did not give a gift?",1,Fred,The document does not specify who did not give a gift.,False,gpt-4o-mini-2024-07-18,0.2975597381591797,216,12,228,4e-05,1.433
What is the maximum length in meters of #9 in the first National Geographic short on YouTube that was ever released according to the Monterey Bay Aquarium website? Just give the number.,2,1.8,"1,022",False,gpt-4o-mini-2024-07-18,0.29199567437171936,172,3,175,2.8e-05,0.966
What two-word type of model did Manash Pratim Kashyap's and PS Fader's studies in customer retention studies published during 2018-2019 have in common (no punctuation)?,2,beta geometric,latent class,False,gpt-4o-mini-2024-07-18,0.1145571693778038,176,2,178,2.8e-05,0.976
"What animals that were mentioned in both Ilias Lagkouvardos's and Olga Tapia's papers on the alvei species of the genus named for Copenhagen outside the bibliographies were also present in the 2021 article cited on the alvei species' Wikipedia page about a multicenter, randomized, double-blind study?",3,mice,Frog,False,gpt-4o-mini-2024-07-18,0.16597141325473785,202,2,204,3.1e-05,1.057
How many High Energy Physics - Lattice articles listed in January 2020 on Arxiv had ps versions available?,2,31,17,False,gpt-4o-mini-2024-07-18,0.23151011765003204,159,1,160,2.4e-05,0.836
The photograph in the Whitney Museum of American Art's collection with accession number 2022.128 shows a person holding a book. Which military unit did the author of this book join in 1813? Answer without using articles.,2,Russian-German Legion,First U.S. Artillery,False,gpt-4o-mini-2024-07-18,0.2529855966567993,182,6,188,3.1e-05,1.337
".rewsna eht sa ""tfel"" drow eht fo etisoppo eht etirw ,ecnetnes siht dnatsrednu uoy fI",1,Right,right,True,gpt-4o-mini-2024-07-18,0.1192871704697609,171,1,172,2.6e-05,1.069
"What is the minimum number of page links a person must click on to go from the english Wikipedia page on The Lord of the Rings (the book) to the english Wikipedia page on A Song of Ice and Fire (the book series)? In your count, include each link you would click on to get to the page. Use the pages as they appeared at the end of the day on July 3, 2023.",2,2,1,False,gpt-4o-2024-08-06,0.33431485295295715,221,1,222,0.00112,1.092
"Each cell in the attached spreadsheet represents a plot of land. The color of the cell indicates who owns that plot. Green cells are plots owned by Earl Smith. Can Earl walk through every plot he owns (and no other plots) and return to his starting plot without backtracking? For this question, consider backtracking to be any instance where Earl would enter a plot of land he had already entered since leaving his starting plot.",1,No,Yes,False,gpt-4o-mini-2024-07-18,0.18750914931297302,221,1,222,3.4e-05,0.75
Which of the text elements under CATEGORIES in the XML would contain the one food in the spreadsheet that does not appear a second time under a different name?,3,Soups and Stews,Unique,False,gpt-4o-mini-2024-07-18,0.1770249307155609,167,1,168,2.6e-05,0.921
"I went to Virtue restaurant & bar in Chicago for my birthday on March 22, 2021 and the main course I had was delicious!  Unfortunately, when I went back about a month later on April 21, it was no longer on the dinner menu.  Using the Wayback Machine, can you help me figure out which main course was on the dinner menu for Virtue on March 22, 2021 but not April 21, 2021? Answer using the singular form, without articles.",2,shrimp,Catfish,False,gpt-4o-mini-2024-07-18,0.165420264005661,242,2,244,3.7e-05,0.94
"¬(A ∧ B) ↔ (¬A ∨ ¬B)
¬(A ∨ B) ↔ (¬A ∧ ¬B)
(A → B) ↔ (¬B → ¬A)
(A → B) ↔ (¬A ∨ B)
(¬A → B) ↔ (A ∨ ¬B)
¬(A → B) ↔ (A ∧ ¬B)

Which of the above is not logically equivalent to the rest? Provide the full statement that doesn't fit.",1,(¬A → B) ↔ (A ∨ ¬B),¬(A ∨ B) ↔ (¬A ∧ ¬B),False,gpt-4o-mini-2024-07-18,0.2973317503929138,251,18,269,4.8e-05,1.14
"My family reunion is this week, and I was assigned the mashed potatoes to bring. The attendees include my married mother and father, my twin brother and his family, my aunt and her family, my grandma and her brother, her brother's daughter, and his daughter's family. All the adults but me have been married, and no one is divorced or remarried, but my grandpa and my grandma's sister-in-law passed away last year. All living spouses are attending. My brother has two children that are still kids, my aunt has one six-year-old, and my grandma's brother's daughter has three kids under 12. I figure each adult will eat about 1.5 potatoes of mashed potatoes and each kid will eat about 1/2 a potato of mashed potatoes, except my second cousins don't eat carbs. The average potato is about half a pound, and potatoes are sold in 5-pound bags. How many whole bags of potatoes do I need? Just give the number.",1,2,2,True,gpt-4o-mini-2024-07-18,0.25043192505836487,336,1,337,5.1e-05,0.887
"In Emily Midkiff's June 2014 article in a journal named for the one of Hreidmar's sons that guarded his house, what word was quoted from two different authors in distaste for the nature of dragon depictions?",1,fluffy,archaism,False,gpt-4o-mini-2024-07-18,0.11146371811628342,185,2,187,2.9e-05,1.532
"It is 1999. Before you party like it is 1999, please assist me in settling a bet.

Fiona Apple and Paula Cole released albums prior to 1999. Of these albums, which didn't receive a letter grade from Robert Christgau? Provide your answer as a comma delimited list of album titles, sorted alphabetically.",2,"Harbinger, Tidal","Tidal, This Fire",False,gpt-4o-mini-2024-07-18,0.2025911957025528,206,5,211,3.4e-05,1.05
