training_id,dataset,query,expected_answer,oracle_agent,agent_tier,cost_usd,latency_sec,cost_normalized,predicted_answer,n_correct_agents,label_status,p_raw,p_cot,p_react,p_debate,p_multiagent,p_self_consistency,soft_label_sum,soft_dominant_agent
train_0000,math,Find the absolute value of the difference of single-digit integers $A$ and $B$ such that  $$ \begin{array}{c@{}c@{\;}c@{}c@{}c@{}c} & & & B& B & A_6\\ & & & \mathbf{4} & \mathbf{1} & B_6\\& & + & A & \mathbf{1} & \mathbf{5_6}\\ \cline{2-6} & & A & \mathbf{1} & \mathbf{5} & \mathbf{2_6} \\ \end{array} $$Express your answer in base $6$.,1_6,debate,3.0,0.00134025,19.31818929200017,0.2813552917467016,1,1,labeled,0.0,0.0,0.0,1.0,0.0,0.0,1.0,debate
train_0001,math,What is the greatest number of Sundays that can occur in the first $49$ days of a year?,7,raw,0.0,3.015e-05,0.7272309590007353,0.0296110783736004,7,6,labeled,0.1738153380467122,0.17068910189889167,0.16748826994657193,0.16745866355889075,0.16280760755522145,0.157741018993712,1.0,raw
train_0002,math,"Six positive integers from a list of nine positive integers are $6, 7, 2, 4, 8, 5$. What is the largest possible value of the median of this list of nine positive integers?",7,raw,0.0,3.39e-05,1.6355423330023768,0.0150295936689499,7,4,labeled,0.2532804798014797,0.24919712463897917,0.24640881446638463,0.0,0.2511135810931565,0.0,1.0,raw
train_0003,math,What is the value of $a$ for which $\frac{1}{\text{log}_2a} + \frac{1}{\text{log}_3a} + \frac{1}{\text{log}_4a} = 1$?,24,cot,1.0,0.0004812,14.583436499997331,0.1054222806441012,24,4,labeled,0.0,0.2584747584631711,0.23635626662648013,0.2560534670400908,0.0,0.24911550787025796,1.0,cot
train_0004,math,Find $\begin{pmatrix} 2 \\ -5 \end{pmatrix} - 4 \begin{pmatrix} -1 \\ 7 \end{pmatrix}.$,\begin{pmatrix}6\-33\end{pmatrix},raw,0.0,4.259999999999999e-05,1.1554189579983358,0.0297725128420169,\begin{pmatrix} 6 \ -33 \end{pmatrix},1,labeled,1.0,0.0,0.0,0.0,0.0,0.0,1.0,raw
train_0005,math,"If the matrix $\mathbf{A}$ has an inverse and $(\mathbf{A} - 2 \mathbf{I})(\mathbf{A} - 4 \mathbf{I}) = \mathbf{0},$ then find
\[\mathbf{A} + 8 \mathbf{A}^{-1}.\]",\begin{pmatrix}6&0\0&6\end{pmatrix},,,,,,,0,discarded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
train_0006,math,"In a set of five consecutive integers, the largest integer is less than twice the average of the five integers. What is the smallest integer that could be in the set?",1,cot,1.0,0.0002973,8.61070170899984,0.2000201836714098,1,5,labeled,0.0,0.20830057790600218,0.19380367866519382,0.2047450304113152,0.20086465648720872,0.19228605653028003,1.0,cot
train_0007,math,Compute $\dbinom{8}{0}$.,1,raw,0.0,2.85e-05,0.7683618330011086,0.0212100915382898,1,6,labeled,0.17455759570213303,0.17229637834161726,0.16409842543615205,0.16993920025613293,0.15828160514953582,0.1608267951144288,0.9999999999999999,raw
train_0008,math,"When $n$ is divided by 3, the remainder is 2. What is the remainder when $5n$ is divided by 3?",1,raw,0.0,3.165e-05,0.9792511250016104,0.0228009509401339,1,6,labeled,0.1723012999169121,0.16938445113605993,0.16480204266113865,0.16763092359603515,0.16962073632138708,0.15626054636846703,1.0,raw
train_0009,math,"If $p, q,$ and $r$ are three non-zero integers such that $p + q + r = 26$ and\[\frac{1}{p} + \frac{1}{q} + \frac{1}{r} + \frac{360}{pqr} = 1,\] compute $pqr$.
",576,,,,,,,0,discarded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
