query,ground_truth,predicted_answer
"Typical advertising regulatory bodies suggest, for example that adverts must not: encourage _________, cause unnecessary ________ or _____, and must not cause _______ offence.",I,I
"Managers are entrusted to run the company in the best interest of ________. Specifically, they have a duty to act for the benefit of the company, as well as a duty of ________ and of _______.",F,F
"There are two main issues associated with _____ sizing. _______ is a key issue as due to the information policy of the corporation it can be argued that employees have a right to know if they are being made redundant. _______ is a second issue, particularly the ________ package that employees receive when laid off.",J,D
_______ locate morality beyond the sphere of rationality in an emotional 'moral impulse' towards others.,C,H
" Some of key differences between Islamic finance and conventional finance include - prohibition of charging and paying _______, prohibition on ______ and ______ transactions, prohibition of sinful investment and requirement for all financial products to be backed by __________.",G,B
 Which of the following are the three broad groups of organizational characteristics segmentation criteria?,A,A
" Pine and Gilmore (1999) derive four distinct realms of experience, based on two dimensions. What are these dimensions?",D,D
" Which type of research methods are designed to elicit responses to predetermined, standardized questions from many respondents?",J,J
"Where the price is set low relative to the competition to gain market share, this strategy is known as:",E,E
"Once a train pulls out of a station, or an aeroplane takes off or a film starts, those seats are lost and can never be sold. This is referred to as:",F,F
"A marketing research firm contracts with clients to conduct a complete marketing research project from data collection, analysis, and reporting. It is a__________ firm.",E,E
The six dimensions usually considered to constitute the external marketing environment include all of the following except:,G,C
What is the term for the 'rule of thumb' type of bias in decision making?,J,J
As what is ensuring that one individual does not carry the burden of a whole work task referred to?,D,B
What theory is built around the principle that 'people make choices regarding how to behave based on values and beliefs'?,F,F
How does lateral communication in an organisation occur?,J,H
"The stock of the CCC Corporation is currently valued at $12 and is assumed to possess all the properties of geometric Brownian motion. It has an expected annual return of 15%, an annual volatility of 20%, and the annual risk-free is 10%. Using a binomial lattice, determine the price of a call option on CCC stock maturing in 10 monthes time with a strike price of $14 (Let the distance between nodes on your tree be 1 month in length).",F,F
"George is seen to place an even-money $100,000 bet on the Bulls to win the NBA Finals. If George has a logarithmic utility-of-wealth function and if his current wealth is $1,000,000, what must he believe is the minimum probability that the Bulls will win?",A,A
"Boy Alcott and Jon Buxton are partners in a steel company. They share the net income in proportion to their average investments. On January 1, Alcott invested $4,000 and Buxton invested $5,000. On May 1, Alcott invested an additional $2,000 and Buxton invested $1,750. On September 1, Alcott withdrew $500. On November 1, each partner invested an additional $2,000. The net profit for the year was $8,736. Find each partner's share of the profit.",B,A
"TheAlforsCompany had a beginning inventory of $30,000, Jan 1, 1974. During the year, purchases amounted to $87,500, net sales to $102,000. Assuming that the gross profit rate is 40% of the net sales, what is the ending inventory using the gross profit method of inventory evaluation?",D,C
"(a) Given the two discount series of 30-10-2(1/2) % and 25-15-2%, which is better? (b) Given the discount series 15-15% and the single rate of 30%, which is better?",J,E
"On July 7, Magee Data stock sold at a high of 23(1/8) and a low of 22(5/8). Giant Industrials sold for a high of 24(1/4) and a low of 23(1/2). Mr. Taylor purchased 300 shares of Magee Data at the high of the day and 400 shares of Giant Industrials at the low of the day. What was the cost of his purchase?",I,B
"During a riot, Mr. Winter's car was overturned causing $346.50 in damage.Mr. Winter had $50-deductible col-lision insurance, but no comprehensive coverage. How much will theinsurance company pay Mr. Winter?",E,A
"Janet Firestone purchased an option on a stock for $175 giving her the right to buy 100 shares at 14(1/2) within 90 days. One month later, she exercised her option and then sold the stock on the same day for 17. What was her profit on the stock?",H,C
"Margaret Denault recently rented a truck to drive 516 miles in days and 17 hours, using 54 gallons of gasoline. The rental company charged her $32 per day, $.22 per mile, and $.445 per gal-lon of gas. Extra hours were charged $2.75 per hour. Find the total cost of the rental.",J,A
Where in the balance sheet does each of the following belong? (A) Taxes payable (B) Capital stock (C) Retailed earnings (D) Administrative expense (E) Prepaid expenses,J,J
"Prepare a balance sheet for Silvertown Office Supplies, C.H. Walters, owner, as of April 30 of the current year, based on the following information: Cash, $3,390; Notes Receivable, $2,905; Accounts Receivable, $8,215; Merchandise Inventory, $23,600; Store Supplies, $720; Store Fixtures, $2,895; Furniture and Equipment, $5,600; Notes Payable, $5,250; Accounts Payable, $4,800.",H,C
What is the net cost of a tape recorder whose list price is $32 and on which the discount rate is 30%?,F,A
"Mr. Frankel wants to borrow $2,000 from November 16 for 143 days. The interest rate is 6%. What would the difference in the interest charge amount to if the bank used exact interest instead of bankers' interest?",H,D
"HarryHyppeis paid a straight wage of $2.89 (1/2) per hour. If he works 9 hours a day in a six-day week, how much will he be paid?",C,D
"Steven Moore purchased a new car for $3,462.20, including taxes and all other charges. He wishes to pay for it in 35 months. Find his monthly payments.",E,B
"A man sells novelty items for $1.25 each. His cost is $.75 apiece plus a fixed cost of $140,000. How many items must he sell to break even? What is his sales revenue at that point?",H,C
"Find the amount to be paid each month in order to pay off car described below in two years. Price of car: $5,779.00 Transportation charge: $73.00 Factory-installed equipment: Radio 95.50 Metallic paint 59.90 Racing stripes 39.50 Power steering 98.00 Wide radial tires 198.10 Air conditioning 429.00 Dealer-installed equipment: Mirror $8.50 Mats 10.75 Undercoat 35.00 Insurance : Collision ($100-deductible) $505.75 for two years Comprehensive 231.50 for two years Sales tax: 5% Cash deposit: $500.00 Cost of financing: 9(1/2)%per year for two Years Used car allowance: $370.00",J,D
"Find the break-even point for the cost of production C and the revenue R received for each of the following: (a) C = $10x + $600,R = $30x (b) C = $5x + $200,R = $8x (c) C = $0.2x + $50,R = $0.3x (d) C = $1800x + $3000,R = $2500x",I,A
"The tax rate in the town of Centerville is 11(1 / 2)%. If a tax of $1,794 was paid on a piece of property and the assessment rate in Centerville is 30%, what is the expected market value of the property?",I,A
"A man buys a house and lot for $35,000, paying $12,000 down and borrowing the balance on a 6% mortgage due in 10 years. He pays real-estate taxes of $240, a water tax of $30, and insurance premiums of $70 a year. Allowing 4% interest on his investment, and 2% depreciation on the house valued at $25,000, what is the cost per month of owning the home if repairs average $120 a year?",I,C
"The Five Star Hotel put down $3,000 worth of carpeting. The carpeting is made to last for five years. The hotel's accountant wishes to use the declining-balance method. What is the depreciation for the second year?",H,B
"Mr. Williams owns a piece of property assessed at $7,800 in a city which has a tax rate of $2.80 per $100. How much in property taxes does he pay?",A,C
"Joe Troy purchased a chain saw for $1,200 for his lumber mill. The saw will last 6 years and have no residual value. Mr. Troy wishes to use the straight-line method of depreciation. Find the depreciation and book value for the first two years.",H,H
Mr. Castle will buy one of two 10-HP motors offered to him. Motor A sells for $169 and has a full-load efficiency of 85.2%. Motor B costs $149 and has a full-load efficiency of 82.1%. The annual inspection and maintenance fee on both motors is 14.5% of the price. If electric energy costs 2.35 cents per kilowatt hour (1 HP = 0.746kw.) find the number of hours per year at which the cost of both motors will be the same.,J,C
Determine the number of men needed to build a boat in 77 days if it takes 36 men 132 days to build one.,G,C
"Given the above statement, find what would happen to the free amount if the reserve for contingencies to were to increase by $10,000.Retained Earnings: Reserved for contingencies $25,000 Reserved for plant expansion $20,000 Total reserves $45,000 Free retained earnings $50,000 Total retained earnings $95,000",A,B
"How much will it cost to cover a floor 13'6"" × 18'8"" with asphalt tile if the price is 9 (3/4) \textcent per 9"" tile?",G,C
"Dermanand Klein are the sole stockholders of the Leather Products Corporation. It is estimated that Leather Products will have a taxable income of $30,000 this year. The stock is evenly divided between Mr.Dermanand Mr. Klein, so that resulting dividends will also be equally shared. Both Mr. Dermanand Mr. Klein expect to receive from other sources a net taxable income of $12,000. All profit after taxes Leather Products makes this year will be paid out as dividends. Mr.Dermanwants to introduce a new product. Should this venture succeed, the annual income before taxes will increase by $10,000. What will be the increase in stockholders' income after taxes? Use the tables ""Federal Taxes Rates on 1949 Net Incomes of Corporations in the United States"", and ""Federal Tax Rates on 1949 Incomes of Individuals in the United States.""",A,C
"Tom bought a new bicycle for $80. After 4 years of use, he sold it to a second-hand dealer for $15. What was the annual depreciation by the straight line method? What was the annual rate of depreciation?",B,A
A manufacturer can produce a saw for $13 in direct costs and $10 in overhead or indirect costs. He needs to sell his saw for a minimum price. At what price must he sell his saw so that he will not incur a short term loss?,J,C
Which of the following would yield the greatest net return to acorporation in the 50% tax bracket A) 5% certificate of deposit B) 5% government bond C) 5% corporate bond D) 5%treasurybond E) 4% municipal bond,J,D
The list price of a book is $4.95. It sells in a bookstore at a net price of $2.95. What is the amount of trade discount?,I,A
"A business started last year with an inventory of 90,000 items which cost $60,000 and had a selling price of $80,000, At the end of the year, the inventory consisted of 70,000 items which cost $90,000 and had a selling price of $120,000. Records indicate that, during the year, 360,000 items were sold which cost $300,000, with net sales of $380,000. What are thestockturnrates at cost, selling price, and number of units?",G,B
"Paul Murphy wants to have $10,000 in his account after 10 years. If interest is compounded annually at 4%, how much should Mr. Murphy invest now?",F,F
"Mr. Torres owns 350 shares of Krescostock paying a quarterly dividend of $1.20 per share, with an extra year-end dividend of $.30 per share. What was his total income from the stock for the year?",H,D
